status,bed,bath,acre_lot,city,state,house_size,price
1,4.0,3.0,0.24,29,1,3413.0,200000.0
1,5.0,2.0,0.49,29,1,2058.0,148000.0
1,1.0,1.0,0.14,29,1,800.0,39500.0
1,6.0,3.0,0.45,29,1,2900.0,220000.0
1,3.0,2.0,0.27,29,1,1100.0,75000.0
1,4.0,2.0,0.13,29,1,1000.0,110000.0
1,7.0,4.0,0.49,29,1,800.0,150000.0
1,6.0,3.0,0.09,29,1,2472.0,79000.0
1,3.0,1.0,0.09,29,1,1044.0,65000.0
1,5.0,3.0,0.08,29,1,2200.0,179000.0
1,3.0,2.0,0.86,29,1,3500.0,145000.0
1,3.0,1.0,0.13,29,1,1262.0,79000.0
1,5.0,2.0,0.42,29,1,6000.0,360000.0
1,4.0,3.0,0.46,4,1,2520.0,179000.0
1,3.0,1.0,0.08,29,1,1009.0,94600.0
1,7.0,3.0,0.31,29,1,2715.0,239000.0
1,3.0,3.0,0.19,29,1,2872.0,279000.0
1,3.0,1.0,4.89,29,1,1028.0,100000.0
1,4.0,3.0,0.25,29,1,1600.0,168000.0
1,3.0,2.0,0.29,29,1,1604.0,150000.0
1,8.0,2.0,0.13,29,1,1500.0,140000.0
1,2.0,1.0,0.1,29,1,680.0,70000.0
1,3.0,1.0,0.06,29,1,750.0,80000.0
1,5.0,2.0,0.13,29,1,1500.0,135000.0
1,3.0,3.0,0.24,29,1,2183.0,215000.0
1,3.0,2.0,0.25,29,1,1000.0,138000.0
1,5.0,4.0,0.2,29,1,2832.0,289000.0
